📊 Análisis de Recetas (datos reales de Spoonacular)

🥇 Ingrediente más común: arroz (7 veces, 9.86%)
🍽️ Receta más sencilla: Easy Chicken Tandoori (6 ingredientes)

🔝 Top 10 ingredientes más frecuentes:

| Nº | Ingrediente        | Frecuencia | Porcentaje |
|----|---------------------|------------|------------|
| 1  | arroz               | 7          |      9.86% |
| 2  | tomates enlatados   | 5          |      7.04% |
| 3  | cebolla             | 4          |      5.63% |
| 4  | tomates             | 4          |      5.63% |
| 5  | pollo               | 2          |      2.82% |
| 6  | pimiento            | 2          |      2.82% |
| 7  | ajo                 | 2          |      2.82% |
| 8  | cherry tomatoes     | 1          |      1.41% |
| 9  | juice of lemon      | 1          |      1.41% |
| 10 | thyme               | 1          |      1.41% |
